Test epoch:36, loss=0.15246183151422546, err=0.36569767441860473
Train epoch:37, loss=0.07264945236458548, err=0.06384276076803326
Test epoch:37, loss=0.15203202683911768, err=0.3640697674418605
Train epoch:38, loss=0.07134644760637625, err=0.062415672029060724
Test epoch:38, loss=0.15175238449213116, err=0.36534883720930234
Train epoch:39, loss=0.07154051825060057, err=0.06235080435910741
Test epoch:39, loss=0.15085044870542924, err=0.36232558139534904
Train epoch:40, loss=0.07384965771719326, err=0.06214322781525694
Test epoch:40, loss=0.14624654373457266, err=0.3293023255813952
Train epoch:41, loss=0.07295192384751166, err=0.05887389724961077
Test epoch:41, loss=0.1446651494087175, err=0.3195348837209303
Train epoch:42, loss=0.07361020691611635, err=0.055980799169693826
Test epoch:42, loss=0.14297654412167016, err=0.30755813953488365
Train epoch:43, loss=0.07195753005894358, err=0.05576024909185268
Test epoch:43, loss=0.14248211661050486, err=0.30523255813953487
Train epoch:44, loss=0.07115063395208114, err=0.05377529839128176
Test epoch:44, loss=0.14229264844988668, err=0.3087209302325582
Train epoch:45, loss=0.0724404940389379, err=0.05553969901401144
Test epoch:45, loss=0.1407879997477975, err=0.29895348837209307
Train epoch:46, loss=0.0725601663127673, err=0.053671510119356496
Test epoch:46, loss=0.14096134551042735, err=0.3004651162790697
Train epoch:47, loss=0.07129402365148856, err=0.05249091852620654
Test epoch:47, loss=0.14085045990555786, err=0.3004651162790697
Train epoch:48, loss=0.07273340522691986, err=0.05328230409963672
Test epoch:48, loss=0.1376311627931373, err=0.2769767441860466
Train epoch:49, loss=0.0743608018977845, err=0.05204981837052417
Test epoch:49, loss=0.13619046219906142, err=0.2653488372093024
Train epoch:50, loss=0.07058403661525815, err=0.05003892060197198
Test epoch:50, loss=0.1355628220840942, err=0.26313953488372094
Train epoch:51, loss=0.07008530490813737, err=0.047872340425531956
Test epoch:51, loss=0.13486514867738236, err=0.26127906976744186
Train epoch:52, loss=0.07001860959085161, err=0.04831344058121437
Test epoch:52, loss=0.13517711597473123, err=0.26279069767441876
Train epoch:53, loss=0.0709660046080975, err=0.047651790347690744
Test epoch:53, loss=0.135370948962694, err=0.2680232558139535
Train epoch:54, loss=0.07099333184674096, err=0.04880643487285941
Test epoch:54, loss=0.13395594337651895, err=0.2581395348837208
Train epoch:55, loss=0.06953502952043386, err=0.045576024909185255
Test epoch:55, loss=0.13391110995827718, err=0.25790697674418595
Train epoch:56, loss=0.0710028213012401, err=0.04713284898806439
Test epoch:56, loss=0.13211904235704, err=0.24720930232558133
Train epoch:57, loss=0.07259330433683657, err=0.04420083030617538
Test epoch:57, loss=0.13091810172380403, err=0.23860465116279064
Train epoch:58, loss=0.07051003882182993, err=0.04413596263622208
Test epoch:58, loss=0.13079554504433344, err=0.2417441860465116
Train epoch:59, loss=0.06956066597846579, err=0.043370524130773205
Test epoch:59, loss=0.13086584232920825, err=0.24313953488372095
Train epoch:60, loss=0.07177279049266742, err=0.04523871302542815
Test epoch:60, loss=0.12892738700259562, err=0.2287209302325581
Train epoch:61, loss=0.07191813422669524, err=0.043915412558380905
Test epoch:61, loss=0.1287251695817293, err=0.22941860465116273
Train epoch:62, loss=0.06952806407238729, err=0.04233264141152048
Test epoch:62, loss=0.12769750193801038, err=0.22302325581395338
Train epoch:63, loss=0.06914100473960277, err=0.040866632070575996
Test epoch:63, loss=0.1273366140591544, err=0.22325581395348829
Train epoch:64, loss=0.0692613130995011, err=0.04116502335236117
Test epoch:64, loss=0.12773742578750433, err=0.22802325581395344
Train epoch:65, loss=0.06853034012560932, err=0.04120394395433315
Test epoch:65, loss=0.12809200704444287, err=0.23034883720930222
Train epoch:66, loss=0.07143808367841437, err=0.04231966787752982
Test epoch:66, loss=0.12544992801754973, err=0.21186046511627907
Train epoch:67, loss=0.06874741254240027, err=0.04023092890503374
Test epoch:67, loss=0.12528126581117163, err=0.21290697674418602
Train epoch:68, loss=0.07075365528572578, err=0.04023092890503373
Test epoch:68, loss=0.12493106301787288, err=0.21011627906976743
Train epoch:69, loss=0.06898743593867154, err=0.038220031136481585
Test epoch:69, loss=0.12459199970891309, err=0.20918604651162778
Train epoch:70, loss=0.06913515675878688, err=0.0385313959522574
Test epoch:70, loss=0.12492348848040714, err=0.21232558139534874
Train epoch:71, loss=0.06932942780313726, err=0.03942656979761287
Test epoch:71, loss=0.12327065180207408, err=0.19906976744186045
Train epoch:72, loss=0.06779295392431121, err=0.03720809548521019
Test epoch:72, loss=0.12280134480706481, err=0.19813953488372077
Train epoch:73, loss=0.06969325674468672, err=0.037675142708873885
Test epoch:73, loss=0.1225155060027921, err=0.19837209302325584
Train epoch:74, loss=0.06942208635281978, err=0.037623248572911265
Test epoch:74, loss=0.12107540135120237, err=0.18860465116279068
Train epoch:75, loss=0.06853661410835168, err=0.03687078360145301
Test epoch:75, loss=0.1204240022876928, err=0.18744186046511624
Train epoch:76, loss=0.06871790308785612, err=0.0364945511157239
Test epoch:76, loss=0.12057163741352946, err=0.18941860465116267
Train epoch:77, loss=0.06899273814464334, err=0.03554748313440579
Test epoch:77, loss=0.12074083699736485, err=0.19116279069767433
Train epoch:78, loss=0.06748515282156836, err=0.03535288012454591
Test epoch:78, loss=0.12107246821356374, err=0.1917441860465115
Train epoch:79, loss=0.07010772285889205, err=0.03642968344577061
Test epoch:79, loss=0.12050417538645655, err=0.18906976744186044
Train epoch:80, loss=0.06951822171332803, err=0.035106382978723365
Test epoch:80, loss=0.11991051392153251, err=0.1848837209302326
Train epoch:81, loss=0.06689861686692439, err=0.03445770627919044
Test epoch:81, loss=0.11978667844520059, err=0.18779069767441867
Train epoch:82, loss=0.06809649927242933, err=0.03425012973533985
Test epoch:82, loss=0.11969757222158964, err=0.18767441860465112
Train epoch:83, loss=0.06714427830834091, err=0.03444473274519976
