Test epoch:41, loss=0.1469367891550064, err=0.34441860465116275
Train epoch:42, loss=0.07055834739033537, err=0.05542293720809551
Test epoch:42, loss=0.14570968421392663, err=0.33651162790697653
Train epoch:43, loss=0.07033746905642266, err=0.054579657498702645
Test epoch:43, loss=0.14482908971434416, err=0.3298837209302323
Train epoch:44, loss=0.07009987198309339, err=0.05341203943954334
Test epoch:44, loss=0.14378458938972893, err=0.32232558139534895
Train epoch:45, loss=0.06991895378703086, err=0.052426050856253285
Test epoch:45, loss=0.14280877446019372, err=0.31941860465116273
Train epoch:46, loss=0.06981175380300288, err=0.051556824078879085
Test epoch:46, loss=0.14178037237982416, err=0.3119767441860464
Train epoch:47, loss=0.06959764713389566, err=0.051167618059159335
Test epoch:47, loss=0.14095231299830038, err=0.3051162790697674
Train epoch:48, loss=0.06943410566848952, err=0.05018162947586929
Test epoch:48, loss=0.1398768405235091, err=0.2994186046511629
Train epoch:49, loss=0.06929547844873185, err=0.049662688116242915
Test epoch:49, loss=0.13909767011916915, err=0.29534883720930233
Train epoch:50, loss=0.06910704365884571, err=0.048832381940840754
Test epoch:50, loss=0.13822087931425073, err=0.29046511627906996
Train epoch:51, loss=0.0689678540077306, err=0.04759989621172813
Test epoch:51, loss=0.1373031960670338, err=0.28162790697674434
Train epoch:52, loss=0.06885523389595728, err=0.04744421380384018
Test epoch:52, loss=0.13640771080241648, err=0.277093023255814
Train epoch:53, loss=0.06871549267085973, err=0.04632848988064354
Test epoch:53, loss=0.13580684159384218, err=0.2730232558139537
Train epoch:54, loss=0.06852550983195037, err=0.04540736896730674
Test epoch:54, loss=0.13532043551636297, err=0.2687209302325581
Train epoch:55, loss=0.06849334243932458, err=0.044888427607680324
Test epoch:55, loss=0.13416389370726983, err=0.26244186046511636
Train epoch:56, loss=0.06829917161871903, err=0.04356512714063313
Test epoch:56, loss=0.1335766319791938, err=0.2583720930232557
Train epoch:57, loss=0.06821744672405052, err=0.04395433316035287
Test epoch:57, loss=0.1327003554549328, err=0.2525581395348837
Train epoch:58, loss=0.0681046582598937, err=0.04266995329527763
Test epoch:58, loss=0.13221043679256772, err=0.24709302325581392
Train epoch:59, loss=0.0680253630596806, err=0.04250129735339912
Test epoch:59, loss=0.1313520561470542, err=0.24546511627906967
Train epoch:60, loss=0.06793256263917029, err=0.04169693824597821
Test epoch:60, loss=0.1306865420452384, err=0.24139534883720928
Train epoch:61, loss=0.06790637544616786, err=0.04181370005189414
Test epoch:61, loss=0.13002804332347803, err=0.23790697674418604
Train epoch:62, loss=0.06775631892848151, err=0.040827711468604054
Test epoch:62, loss=0.12953577982478365, err=0.23662790697674418
Train epoch:63, loss=0.06767822051112461, err=0.04034769071094969
Test epoch:63, loss=0.12868745314866997, err=0.23232558139534876
Train epoch:64, loss=0.06756801445464365, err=0.03971198754540739
Test epoch:64, loss=0.12822050393320794, err=0.2274418604651163
Train epoch:65, loss=0.06754775084294166, err=0.03903736377789309
Test epoch:65, loss=0.12777160322943398, err=0.22569767441860472
Train epoch:66, loss=0.06744956368455769, err=0.03849247535028542
Test epoch:66, loss=0.1271551642653554, err=0.2226744186046512
Train epoch:67, loss=0.06734514549194792, err=0.03847950181629473
Test epoch:67, loss=0.12651048340769702, err=0.21790697674418597
Train epoch:68, loss=0.06727670358525822, err=0.03770108977685517
Test epoch:68, loss=0.126124155729316, err=0.21686046511627904
Train epoch:69, loss=0.06722239478813609, err=0.03742864556305135
Test epoch:69, loss=0.12535848137597705, err=0.21209302325581392
Train epoch:70, loss=0.0671867213197938, err=0.03703943954333159
Test epoch:70, loss=0.1250810104573882, err=0.2112790697674418
Train epoch:71, loss=0.06707774691881063, err=0.036468604047742575
Test epoch:71, loss=0.1245444335389969, err=0.20825581395348816
Train epoch:72, loss=0.06703532970020838, err=0.03602750389206016
Test epoch:72, loss=0.12390600768632667, err=0.2066279069767442
Train epoch:73, loss=0.06700303856347223, err=0.03565127140633106
Test epoch:73, loss=0.12350415128261544, err=0.20290697674418598
Train epoch:74, loss=0.06691703141957413, err=0.0353918007265179
Test epoch:74, loss=0.12295626408832018, err=0.19825581395348832
Train epoch:75, loss=0.0668930974443403, err=0.035378827192527204
Test epoch:75, loss=0.12250222218937652, err=0.1987209302325581
Train epoch:76, loss=0.06680442912858821, err=0.03471717695900359
Test epoch:76, loss=0.12200725243188613, err=0.19337209302325575
Train epoch:77, loss=0.0667675331178869, err=0.03448365334717174
Test epoch:77, loss=0.12176800125906634, err=0.19232558139534883
Train epoch:78, loss=0.06675568597365149, err=0.03445770627919043
Test epoch:78, loss=0.12129177568956863, err=0.1886046511627907
Train epoch:79, loss=0.06669989199540469, err=0.0337311883757135
Test epoch:79, loss=0.12077395642219588, err=0.1872093023255814
Train epoch:80, loss=0.06667053243256506, err=0.03340685002594703
