Test epoch:52, loss=0.13688381322941115, err=0.2797674418604652
Train epoch:53, loss=0.06866971749501118, err=0.046094966268811655
Test epoch:53, loss=0.13586036330738732, err=0.2737209302325583
Train epoch:54, loss=0.06858647438892287, err=0.04570576024909183
Test epoch:54, loss=0.1350480055566444, err=0.2683720930232558
Train epoch:55, loss=0.06839534944647341, err=0.044901401141670995
Test epoch:55, loss=0.134240410979404, err=0.26058139534883723
Train epoch:56, loss=0.06828475143223012, err=0.04360404774260508
Test epoch:56, loss=0.1337189744898053, err=0.25825581395348834
Train epoch:57, loss=0.06817803710610154, err=0.0431370005189414
Test epoch:57, loss=0.1327059291996235, err=0.2522093023255813
Train epoch:58, loss=0.06810036083692071, err=0.043007265179034776
Test epoch:58, loss=0.1320080878602904, err=0.25000000000000006
Train epoch:59, loss=0.06800241525307661, err=0.0425921120913337
Test epoch:59, loss=0.13151821431725524, err=0.24709302325581387
Train epoch:60, loss=0.067876360902092, err=0.04191748832381941
Test epoch:60, loss=0.13082741072704626, err=0.2432558139534883
Train epoch:61, loss=0.06780653758014137, err=0.04145044110015567
Test epoch:61, loss=0.13036172365726426, err=0.24023255813953484
Train epoch:62, loss=0.06774497856098441, err=0.04073689673066944
Test epoch:62, loss=0.12926457931482516, err=0.2348837209302326
Train epoch:63, loss=0.06761420236636566, err=0.04047742605085627
Test epoch:63, loss=0.12896962553955788, err=0.2332558139534884
Train epoch:64, loss=0.06755709353366554, err=0.039374675661650226
Test epoch:64, loss=0.12825292201582775, err=0.2289534883720929
Train epoch:65, loss=0.06747216624355201, err=0.03908925791385575
Test epoch:65, loss=0.12772062571589338, err=0.22674418604651148
Train epoch:66, loss=0.06739401654932371, err=0.03864815775817332
Test epoch:66, loss=0.12700577872090563, err=0.21999999999999986
Train epoch:67, loss=0.0672979197939969, err=0.03794758692267772
Test epoch:67, loss=0.12681049857028695, err=0.22197674418604652
Train epoch:68, loss=0.06727770280931966, err=0.037817851582771116
Test epoch:68, loss=0.1260414062544357, err=0.2183720930232558
Train epoch:69, loss=0.06718147133216533, err=0.037454592631032686
Test epoch:69, loss=0.1255760268069977, err=0.21511627906976744
Train epoch:70, loss=0.06709873390137051, err=0.03654644525168655
Test epoch:70, loss=0.12513752233150394, err=0.21000000000000002
Train epoch:71, loss=0.06705407624784905, err=0.0362740010378827
Test epoch:71, loss=0.12461209832582362, err=0.2070930232558139
Train epoch:72, loss=0.06696977719594978, err=0.03580695381421899
Test epoch:72, loss=0.12389369066371474, err=0.20488372093023255
Train epoch:73, loss=0.06691719397426919, err=0.035729112610275
Test epoch:73, loss=0.1234941475266634, err=0.20360465116279078
Train epoch:74, loss=0.0668840638222197, err=0.03509340944473268
Test epoch:74, loss=0.1231223092002924, err=0.20127906976744178
Train epoch:75, loss=0.06682617413909496, err=0.035106382978723365
Test epoch:75, loss=0.12250497225065564, err=0.1984883720930233
Train epoch:76, loss=0.06679610677979805, err=0.034898806434872844
Test epoch:76, loss=0.1221335123791251, err=0.19302325581395333
Train epoch:77, loss=0.06672890428270029, err=0.03425012973533986
Test epoch:77, loss=0.12164117967666582, err=0.19244186046511627
Train epoch:78, loss=0.06672094316237723, err=0.03434094447327447
Test epoch:78, loss=0.12123707531149998, err=0.18930232558139523
Train epoch:79, loss=0.06666370643835397, err=0.034003632589517344
Test epoch:79, loss=0.12080997232087823, err=0.18709302325581395
Train epoch:80, loss=0.06662061698850753, err=0.03334198235599371
Test epoch:80, loss=0.12050621185538381, err=0.18860465116279074
Train epoch:81, loss=0.06657489269322289, err=0.03293980280228328
Test epoch:81, loss=0.11995526758390804, err=0.1843023255813954
Train epoch:82, loss=0.06655157921660824, err=0.03261546445251681
Test epoch:82, loss=0.11957335113439449, err=0.18302325581395343
Train epoch:83, loss=0.06650865372979833, err=0.032784120394395384
Test epoch:83, loss=0.11926061498910882, err=0.18186046511627899
Train epoch:84, loss=0.06645237220345876, err=0.031720290607161354
Test epoch:84, loss=0.11879664441180783, err=0.17895348837209296
Train epoch:85, loss=0.06638420417181834, err=0.03146081992734817
Test epoch:85, loss=0.11828403206065644, err=0.1758139534883721
Train epoch:86, loss=0.06636900700566895, err=0.03162947586922673
Test epoch:86, loss=0.11788721607868062, err=0.17255813953488355
Train epoch:87, loss=0.06637682210408503, err=0.031214322781525652
Test epoch:87, loss=0.11762977459056433, err=0.17453488372093007
Train epoch:88, loss=0.0662649263036749, err=0.030721328489880594
Test epoch:88, loss=0.11718511125722597, err=0.17069767441860456
Train epoch:89, loss=0.06626106241691836, err=0.030461857810067407
Test epoch:89, loss=0.11685468670587207, err=0.16965116279069758
Train epoch:90, loss=0.066258243972858, err=0.030137519460300945
Test epoch:90, loss=0.11651341899536377, err=0.16639534883720922
Train epoch:91, loss=0.06620756633575865, err=0.029916969382459736
Test epoch:91, loss=0.11609926166576008, err=0.16372093023255804
Train epoch:92, loss=0.06619186197336498, err=0.029553710430721303
Test epoch:92, loss=0.11588837961817897, err=0.16372093023255804
Train epoch:93, loss=0.06617125804614823, err=0.029605604566683926
Test epoch:93, loss=0.11546320125114086, err=0.1604651162790697
Train epoch:94, loss=0.06610876237698089, err=0.02946289569278667
Test epoch:94, loss=0.11527650777337163, err=0.16081395348837194
Train epoch:95, loss=0.06612068881171011, err=0.02877529839128176
Test epoch:95, loss=0.11466556465209916, err=0.1576744186046511
Train epoch:96, loss=0.06611007372266312, err=0.028217436429683416
Test epoch:96, loss=0.11461413748735605, err=0.15616279069767433
Train epoch:97, loss=0.06605064094677514, err=0.027970939283860914
Test epoch:97, loss=0.11423307147830032, err=0.15697674418604637
Train epoch:98, loss=0.06603437235755782, err=0.027737415672029045
Test epoch:98, loss=0.11402464453564133, err=0.15406976744186038
Train epoch:99, loss=0.06604085517849059, err=0.02785417747794497
Test epoch:99, loss=0.11363827291616174, err=0.15104651162790692
Train epoch:100, loss=0.06600397934273976, err=0.027620653866113093
Test epoch:100, loss=0.1134864608042462, err=0.15197674418604643
